Площадь,Количество комнат,Этаж,Количество этажей в доме,Цена,Адрес,Изображения,Описание,S3_изображения,Количество_фото
33.0,1,9,9,72000,"Нагатинская набережная,26","['avatars.mds.yandex.net/get-realty-offers/18870748/7f61e048-5c6f-42e7-b2bb-e16d8f394971/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17764720/0b32524d-4f2b-423f-819a-45a7ad3559a1/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16408927/901f3fd9-6ad7-47a7-b43f-febb0bddeb9a/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14396637/431d6fe5-1eab-4bd6-91aa-7fda1023eb20/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16258130/2a34b463-20ae-4e1c-862c-bd66ea26fc0f/app_snippet_large']","Заезд возможен с 23.03.2026. Сдаётся 1-комнатная квартира площадью 33 кв.м. с евроремонтом на 9 этаже в 9-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Духовой шкаф  Стиральная машина  Холодильник  Кондиционер Дом - панельный, окна","['s3://realty-images/flats/0/image_1.jpg', 's3://realty-images/flats/0/image_2.jpg', 's3://realty-images/flats/0/image_3.jpg', 's3://realty-images/flats/0/image_4.jpg', 's3://realty-images/flats/0/image_5.jpg']",5
36.0,1,1,9,43000,"Вешняковская улица,27к1","['avatars.mds.yandex.net/get-realty-offers/16293048/98c3bfba-72ca-40f8-98db-7f1f36e606e8/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/19509862/66f90535-493a-455e-bdb5-1a0d325792d4/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14919148/5031b870-37ce-4d74-ac20-4b933383cae6/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16215124/b69ae5da-9bdd-48d0-a516-b8c7b3124656/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16215124/038f17a7-c05c-4276-9071-943888b93439/app_snippet_large']","Арт. 129886310 Уютная квартира, меблированная всем необходимым для комфортной жизни, сдаётся на долгий срок. Рассматриваем арендаторов, таких, как, например, семейная пара с детьми, если у вас есть животные и они чистоплотны, можем обсудить условия","['s3://realty-images/flats/1/image_1.jpg', 's3://realty-images/flats/1/image_2.jpg', 's3://realty-images/flats/1/image_3.jpg', 's3://realty-images/flats/1/image_4.jpg', 's3://realty-images/flats/1/image_5.jpg']",5
32.0,1,11,17,50000,"район Троицк,улица Генерала Пилипенко,1к3ЖК «Кленовые Аллеи»","['avatars.mds.yandex.net/get-realty-offers/16506707/f55afe1d-d60f-4f89-a277-8a1458871bed/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/12720821/24abfe74-5afd-468e-8810-f1c9f363a99d/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15480901/a966e38c-2594-4af4-9dd3-ba19c1336632/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11484904/ad927133-7a78-4cc6-985c-21ad93578c74/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14332645/bad6a105-c8f6-40e3-985b-b5a7d04cdc40/app_snippet_large']",Заезд возможен с 18.04.2026. Сдаётся 1-комнатная квартира площадью 32 кв.м. с евроремонтом на 11 этаже в 17-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Стиральная машина  Сушильная машина  Холодильник  Посудомоечная машина,"['s3://realty-images/flats/2/image_1.jpg', 's3://realty-images/flats/2/image_2.jpg', 's3://realty-images/flats/2/image_3.jpg', 's3://realty-images/flats/2/image_4.jpg', 's3://realty-images/flats/2/image_5.jpg']",5
33.8,1,5,17,56500,ЖК «Люберцы»,"['avatars.mds.yandex.net/get-realty-offers/15209291/f6571d2f-7647-4a20-8b44-4f042ad016e6/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17716653/34079d4e-4faa-4df7-aaa9-98a5a5c34a1c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14671802/353c06d9-329c-4ff2-8d4d-98b69eb3707e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15480901/7f7c0539-3bf0-49b3-a7a6-1e1c8f3d5851/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18870748/09a0501e-a8cf-4e1d-98d5-1ffa234a0f5d/app_snippet_large']",Заезд возможен с 01.04.2026. Сдаётся 1-комнатная квартира площадью 33 кв.м. с дизайнерским ремонтом на 5 этаже в 17-этажном доме на срок от 11 месяцев. Из техники есть:  Духовой шкаф  Стиральная машина  Холодильник  Посудомоечная машина,"['s3://realty-images/flats/3/image_1.jpg', 's3://realty-images/flats/3/image_2.jpg', 's3://realty-images/flats/3/image_3.jpg', 's3://realty-images/flats/3/image_4.jpg', 's3://realty-images/flats/3/image_5.jpg']",5
34.0,1,33,33,75000,Матвеевский парк,"['avatars.mds.yandex.net/get-realty-offers/14276751/79693d04-aa46-41a0-9932-e5f1dd9a757b/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16293048/6a445c0d-62f9-43aa-8366-21c7a6949686/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14396637/e21720e9-2d68-49e0-b01e-ef5eaaec7574/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14854196/278df607-a8f3-4150-8970-630b403c9c48/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15583096/98fe6ace-5776-4a6b-9a92-c79bbf1ea903/app_snippet_large']","Id 60623. Хорошая квартира формата Евро2 с Косметическим ремонтом в ЖК «Матвеевский парк» - Прекрасная инфраструктура - Хороший и качественный ремонт - Квартира готова к заселению , есть все необходимое ! О КВАРТИРЕ : Идеальное сочетание комфорта и","['s3://realty-images/flats/4/image_1.jpg', 's3://realty-images/flats/4/image_2.jpg', 's3://realty-images/flats/4/image_3.jpg', 's3://realty-images/flats/4/image_4.jpg', 's3://realty-images/flats/4/image_5.jpg']",5
50.0,1,15,23,65000,"Отрадная улица,18к1","['avatars.mds.yandex.net/get-realty-offers/13844304/add.18b4c6fa2493c7f9d66372abeaf08056.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15049560/add.53885faf1d1b9412b547f52b56493411.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17711177/add.fb04c430ad191a1a77433537bec75983.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14178776/add.95d8aca26e426df6610e3a96b5c3a358.realty-api-vos/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18345797/add.566d63b28578ae8ce3d566396b69a08c.realty-api-vos/app_snippet_large']","Сдаются современная квартира в монолитно-кирпичном доме. Квартира большая и просторная с большой светлой лоджией , которая тоже может быть еще одной зоной отдыха. Квартира полностью меблированная. Огороженная и охраняемая территория. Красива входная","['s3://realty-images/flats/5/image_1.jpg', 's3://realty-images/flats/5/image_2.jpg', 's3://realty-images/flats/5/image_3.jpg', 's3://realty-images/flats/5/image_4.jpg', 's3://realty-images/flats/5/image_5.jpg']",5
31.0,1,11,16,53000,Жилой район «Испанские кварталы»,"['avatars.mds.yandex.net/get-realty-offers/15363439/167862ef-d03d-4369-8f99-f6421d9edc8c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/16805947/238be9cc-69f6-4fd0-a9cf-9f069e8740fb/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14373170/fb3d6e45-0c8e-4c81-8c97-a5bf9464620e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14635834/eaa88a28-4b25-4eef-8973-f1ee075c2cbf/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14106973/bd7e28b0-3bc4-48af-be80-a757a0a8d7a0/app_snippet_large']","Заезд возможен с 11.04.2026. Сдаётся 1-комнатная квартира площадью 31 кв.м. с евроремонтом на 11 этаже в 16-этажном доме на срок от 11 месяцев. Из техники есть:  Телевизор  Стиральная машина  Холодильник Дом - монолитный, окна выходят на улицу. В","['s3://realty-images/flats/6/image_1.jpg', 's3://realty-images/flats/6/image_2.jpg', 's3://realty-images/flats/6/image_3.jpg', 's3://realty-images/flats/6/image_4.jpg', 's3://realty-images/flats/6/image_5.jpg']",5
35.0,1,8,16,79800,"Духовской переулок,12","['avatars.mds.yandex.net/get-realty-offers/15049560/639121b4-a353-4393-b94b-e015b49a79b5/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/12346937/dd1eb1d5-18a8-4f78-8fb9-a0b35ec6d738/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/18061256/62f7ae7d-9ddf-49c5-837b-b0c242079b88/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/9896606/18530376-ec4c-4cdd-a115-f0dd33f76e96/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14373170/86db9995-feee-497a-8909-e00aba97e4f6/app_snippet_large']","Лот квартира №398473. ВЫГОДА - Без залога - Платите арендный платеж картой любого Банка, кредитной/дебетовой и получайте бонусы в соответствии с условиями Банка - Без комиссии УСЛОВИЯ - Минимальный срок аренды 6 мес. - Без детей - Без животных -","['s3://realty-images/flats/7/image_1.jpg', 's3://realty-images/flats/7/image_2.jpg', 's3://realty-images/flats/7/image_3.jpg', 's3://realty-images/flats/7/image_4.jpg', 's3://realty-images/flats/7/image_5.jpg']",5
40.0,1,4,22,55000,ЖК «Бунинские Кварталы»,"['avatars.mds.yandex.net/get-realty-offers/17824425/99d1f34b-bf28-4869-b209-7d4b99aa5f92/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14385517/eed67d3d-8ba2-4d7a-bb97-0e9ebbbcc40c/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/12691177/c97f3246-8dc9-47c3-bf47-7a24be25f3f7/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/12691177/880d1878-d35b-4955-9f27-0fd4a0c498dd/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/11431992/2ec94ac6-b70f-4738-af82-ca054cbff38b/app_snippet_large']",Сдаётся 1-комнатная квартира площадью 40 кв.м. с евроремонтом на 4 этаже в 22-этажном доме на срок от 11 месяцев. Из техники есть:  Духовой шкаф Дом - монолитный. В подъезде 2 лифта - 1 грузовой и 1 пассажирский. Есть подземная парковка. Коммунальные,"['s3://realty-images/flats/8/image_1.jpg', 's3://realty-images/flats/8/image_2.jpg', 's3://realty-images/flats/8/image_3.jpg', 's3://realty-images/flats/8/image_4.jpg', 's3://realty-images/flats/8/image_5.jpg']",5
34.8,1,5,12,58000,"Снежная улица,12","['avatars.mds.yandex.net/get-realty-offers/15174711/4c94afe9-999c-4b11-879b-bb2af896af0e/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/14919148/f64de18a-acad-4206-ad15-168585d7a0c1/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17716653/0c887d0e-75b9-42c1-94cb-31f8d5f47e18/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/17698503/78c19bb0-5b04-428d-b494-b16247dc3e35/app_snippet_large', 'avatars.mds.yandex.net/get-realty-offers/15438525/ccffde75-0fd5-48db-8a22-a33d58724545/app_snippet_large']","Арт. 133098412 Сдаётся в аренду уютная однокомнатная квартира в пешей доступности от метро. Расположение: район Свиблово. Дом после капитального ремонта,чистый подъезд,новые лифты. Основные характеристики:косметический ремонт;2 дивана;новый","['s3://realty-images/flats/9/image_1.jpg', 's3://realty-images/flats/9/image_2.jpg', 's3://realty-images/flats/9/image_3.jpg', 's3://realty-images/flats/9/image_4.jpg', 's3://realty-images/flats/9/image_5.jpg']",5
